YEAR,DISTRICT ,SCHOOL,TOTAL CANDIDATES,% DIV 1,% DIV 2,% DIV 3,% DIV 4,% DIV 7
2014,WAKISO,LONDON COLLEGE OF ST.LAWRENCE,105.0,100.0,0.0,0.0,0.0,0.0
2014,WAKISO,"ST.MARY'S SECONDARY SCHOOL,KITENDE",431.0,99.8,0.0,0.0,0.0,0.0
2014,WAKISO,"UGANDA MARTYRS SS,NAMUGONGO",217.0,98.2,1.8,0.0,0.0,0.0
2014,MUKONO,"MT.ST.MARY'S,NAMAGUNGA",143.0,97.2,2.8,0.0,0.0,0.0
2014,WAKISO,"ST.MARY'S COLLEGE,KISUBI",199.0,96.0,3.5,0.5,0.0,0.0
2014,KABALE,"ST.PAUL'S SEMINARY,KABALE",43.0,95.3,4.7,0.0,0.0,0.0
2014,BUSHENYI MAIN,KITABI SEMINARY,79.0,94.9,5.1,0.0,0.0,0.0
2014,KOLE,"ST.MARY'S GIRLS' COLLEGE,ABOKE",51.0,94.1,5.9,0.0,0.0,0.0
2014,MBARARA,MARYHILL HIGH SCHOOL,203.0,94.1,5.9,0.0,0.0,0.0
2014,WAKISO,GAYAZA HIGH SCHOOL,185.0,94.1,5.4,0.5,0.0,0.0
2014,KAMPALA,"ST.JOSEPH'S GIRLS,NSAMBYA",168.0,94.0,6.0,0.0,0.0,0.0
2014,MUKONO,SEETA HIGH SCHOOL,245.0,93.1,5.7,0.8,0.0,0.0
2014,KAMPALA,NSAMBYA HILLSIDE HIGH SCHOOL,63.0,92.1,6.3,0.0,0.0,1.6
2014,WAKISO,"KING'S COLLEGE,BUDO",251.0,91.6,6.8,1.2,0.0,0.0
2014,MUKONO,"SEETA HIGH SCHOOL,MUKONO",226.0,91.6,8.4,0.0,0.0,0.0
2014,MUKONO,NAMILYANGO COLLEGE,219.0,91.3,8.2,0.5,0.0,0.0
2014,WAKISO,"THE ACADEMY ST.LAWRENCE,BUDO",23.0,91.3,8.7,0.0,0.0,0.0
2014,MBARARA,NTARE SCHOOL,221.0,91.0,9.0,0.0,0.0,0.0
2014,RUKUNGIRI,ST.CHARLES LWANGA SEMINARY,32.0,90.6,9.4,0.0,0.0,0.0
2014,WAKISO,ST.LAWRENCE CITIZENS HIGH SCHOOL HORIZON,50.0,90.0,10.0,0.0,0.0,0.0
2014,RUKUNGIRI,IMMACULATE HEART GIRLS SCHOOL,209.0,90.0,10.0,0.0,0.0,0.0
2014,WAKISO,"NAALYA SECONDARY SCHOOL,NAMUGONGO",165.0,89.7,9.7,0.0,0.0,0.6
2014,MBARARA,"ST.JOSEPH'S VOCATIONAL SCHOOL,MBARARA",80.0,88.8,11.3,0.0,0.0,0.0
2014,KAMPALA,NABISUNSA GIRLS' SCHOOL,257.0,87.9,10.5,1.2,0.0,0.0
