YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2014,0.0,0.0,22,100.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.2,171,99.4,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,108,97.2,2.8,0.0,0.0,0.0,0.0
2014,0.0,0.0,143,97.2,2.8,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,51,94.1,5.9,0.0,0.0,0.0,0.0
2014,0.0,0.0,203,94.1,5.9,0.0,0.0,0.0,0.0
2014,0.0,0.0,185,94.1,5.4,0.5,0.0,0.0,0.0
2014,0.0,0.0,168,94.0,6.0,0.0,0.0,0.0,0.0
2014,0.0,0.4,120,91.7,8.3,0.0,0.0,0.0,0.0
2014,0.0,0.0,26,92.3,3.8,0.0,0.0,3.8,0.0
2014,0.0,0.4,85,87.1,11.8,1.2,0.0,0.0,0.0
2014,0.0,0.0,94,87.2,12.8,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,8,100.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,50,90.0,10.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,209,90.0,10.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,61,86.9,13.1,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.4,257,87.9,10.5,1.2,0.0,0.0,0.0
2014,0.0,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.4,116,86.2,12.9,0.9,0.0,0.0,0.0
2014,0.0,1.0,43,83.7,16.3,0.0,0.0,0.0,0.0
2014,0.0,0.0,79,89.9,10.1,0.0,0.0,0.0,0.0
2014,0.0,0.8,43,74.4,23.3,0.0,0.0,0.0,0.0
2014,0.0,0.8,51,86.3,13.7,0.0,0.0,0.0,0.0
2014,0.0,0.0,111,79.3,18.9,1.8,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.4,118,77.1,21.2,0.0,0.8,0.0,0.0
2014,0.0,0.0,86,77.9,22.1,0.0,0.0,0.0,0.0
2014,0.0,0.0,231,78.4,19.9,1.3,0.4,0.0,0.0
2014,0.0,0.0,36,77.8,22.2,0.0,0.0,0.0,0.0
2014,0.0,0.0,26,73.1,26.9,0.0,0.0,0.0,0.0
2014,0.0,0.0,31,71.0,25.8,0.0,3.2,0.0,0.0
2014,0.0,0.0,32,68.8,31.3,0.0,0.0,0.0,0.0
2014,0.0,0.0,48,66.7,31.3,2.1,0.0,0.0,0.0
2014,0.0,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,34,70.6,29.4,0.0,0.0,0.0,0.0
2014,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,225,73.8,25.3,0.4,0.4,0.0,0.0
2014,0.0,0.0,30,56.7,43.3,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,50,64.0,30.0,6.0,0.0,0.0,0.0
2014,0.0,0.8,36,58.3,38.9,2.8,0.0,0.0,0.0
2014,0.0,0.0,19,63.2,36.8,0.0,0.0,0.0,0.0
2014,0.0,0.0,94,59.6,31.9,7.4,1.1,0.0,0.0
2014,0.5,2.9,92,68.5,22.8,2.2,3.3,0.0,1.1
2014,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,277,67.1,31.8,1.1,0.0,0.0,0.0
