YEAR,FEMALE % X ,MALE CANDIDATES,MALE % DIV1 ,MALE % DIV2,MALE % DIV3,MALE % DIV4 ,MALE % DIV7,MALE % DIV9,MALE % X
2014,0.0,83,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.6,260,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,109,99.1,0.9,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,199,96.0,3.5,0.5,0.0,0.0,0.0,0.0
2014,0.0,43,95.3,4.7,0.0,0.0,0.0,0.0,0.0
2014,0.0,79,94.9,5.1,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,125,94.4,3.2,1.6,0.0,0.0,0.0,0.8
2014,0.0,37,91.9,8.1,0.0,0.0,0.0,0.0,0.0
2014,0.0,166,94.0,4.2,1.2,0.0,0.0,0.0,0.6
2014,0.0,132,94.7,5.3,0.0,0.0,0.0,0.0,0.0
2014,0.0,219,91.3,8.2,0.5,0.0,0.0,0.0,0.0
2014,0.0,15,86.7,13.3,0.0,0.0,0.0,0.0,0.0
2014,0.0,221,91.0,9.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,32,90.6,9.4,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,104,91.3,7.7,0.0,0.0,1.0,0.0,0.0
2014,0.0,80,88.8,11.3,0.0,0.0,0.0,0.0,0.0
2014,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,149,87.9,11.4,0.0,0.0,0.0,0.0,0.7
2014,0.0,111,89.2,9.9,0.0,0.0,0.0,0.0,0.9
2014,0.0,60,90.0,6.7,1.7,0.0,0.0,0.0,1.7
2014,0.0,123,84.6,15.4,0.0,0.0,0.0,0.0,0.0
2014,2.3,85,87.1,11.8,1.2,0.0,0.0,0.0,0.0
2014,0.0,74,79.7,18.9,0.0,0.0,0.0,0.0,1.4
2014,0.0,127,84.3,11.8,3.9,0.0,0.0,0.0,0.0
2014,0.0,39,79.5,20.5,0.0,0.0,0.0,0.0,0.0
2014,0.8,119,80.7,18.5,0.8,0.0,0.0,0.0,0.0
2014,0.0,134,79.1,20.9,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,40,80.0,15.0,5.0,0.0,0.0,0.0,0.0
2014,0.0,34,82.4,14.7,2.9,0.0,0.0,0.0,0.0
2014,0.0,43,81.4,18.6,0.0,0.0,0.0,0.0,0.0
2014,0.0,71,81.7,15.5,2.8,0.0,0.0,0.0,0.0
2014,0.0,69,73.9,23.2,1.4,0.0,0.0,0.0,1.4
2014,0.0,65,75.4,23.1,1.5,0.0,0.0,0.0,0.0
2014,0.0,163,73.6,23.3,2.5,0.0,0.0,0.0,0.6
2014,0.0,8,62.5,25.0,12.5,0.0,0.0,0.0,0.0
2014,0.0,35,85.7,14.3,0.0,0.0,0.0,0.0,0.0
2014,0.0,18,72.2,22.2,5.6,0.0,0.0,0.0,0.0
2014,0.0,213,71.8,27.7,0.5,0.0,0.0,0.0,0.0
2014,0.0,21,71.4,28.6,0.0,0.0,0.0,0.0,0.0
2014,0.0,51,78.4,17.6,3.9,0.0,0.0,0.0,0.0
2014,0.0,85,76.5,22.4,0.0,0.0,0.0,0.0,1.2
2014,0.0,32,71.9,28.1,0.0,0.0,0.0,0.0,0.0
2014,0.0,100,76.0,21.0,3.0,0.0,0.0,0.0,0.0
2014,2.2,117,67.5,23.1,1.7,3.4,0.9,0.0,3.4
2014,0.0,180,67.2,29.4,2.2,0.6,0.0,0.0,0.6
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,28,78.6,21.4,0.0,0.0,0.0,0.0,0.0
2014,0.0,5,60.0,20.0,0.0,0.0,0.0,0.0,20.0
2014,0.0,9,88.9,11.1,0.0,0.0,0.0,0.0,0.0
2014,5.9,15,66.7,20.0,6.7,0.0,0.0,0.0,6.7
2014,0.0,194,58.2,34.5,5.2,1.5,0.0,0.0,0.5
2014,0.0,31,58.1,41.9,0.0,0.0,0.0,0.0,0.0
2014,1.6,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2014,0.7,150,62.7,36.7,0.7,0.0,0.0,0.0,0.0
2014,0.0,42,69.0,31.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,38,68.4,28.9,2.6,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,13,69.2,30.8,0.0,0.0,0.0,0.0,0.0
2014,0.0,26,53.8,46.2,0.0,0.0,0.0,0.0,0.0
2014,0.0,21,52.4,33.3,4.8,9.5,0.0,0.0,0.0
2014,0.0,63,60.3,39.7,0.0,0.0,0.0,0.0,0.0
2014,0.0,31,51.6,45.2,3.2,0.0,0.0,0.0,0.0
2014,0.0,91,50.5,35.2,12.1,0.0,0.0,0.0,2.2
2014,0.0,116,49.1,37.1,13.8,0.0,0.0,0.0,0.0
2014,0.0,20,75.0,20.0,5.0,0.0,0.0,0.0,0.0
2014,0.0,41,63.4,36.6,0.0,0.0,0.0,0.0,0.0
2014,0.0,46,60.9,30.4,6.5,0.0,0.0,0.0,2.2
2014,0.0,141,47.5,40.4,10.6,1.4,0.0,0.0,0.0
2014,0.0,306,49.0,39.2,10.8,0.7,0.0,0.0,0.3
2014,0.0,112,47.3,45.5,7.1,0.0,0.0,0.0,0.0
2014,0.0,43,46.5,46.5,7.0,0.0,0.0,0.0,0.0
2014,0.0,86,57.0,39.5,3.5,0.0,0.0,0.0,0.0
2014,0.0,133,52.6,32.3,15.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,53,45.3,47.2,7.5,0.0,0.0,0.0,0.0
2014,0.0,53,56.6,30.2,11.3,1.9,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,74,50.0,35.1,12.2,2.7,0.0,0.0,0.0
2014,0.0,39,53.8,20.5,17.9,5.1,0.0,0.0,2.6
2014,0.0,48,43.8,45.8,10.4,0.0,0.0,0.0,0.0
2014,0.0,103,43.7,32.0,22.3,1.9,0.0,0.0,0.0
2014,0.0,22,45.5,36.4,13.6,4.5,0.0,0.0,0.0
2014,0.0,136,42.6,46.3,10.3,0.7,0.0,0.0,0.0
2014,0.0,33,42.4,54.5,3.0,0.0,0.0,0.0,0.0
2014,0.0,110,48.2,50.9,0.9,0.0,0.0,0.0,0.0
2014,0.0,37,37.8,62.2,0.0,0.0,0.0,0.0,0.0
